,year,state,county,candidate,party,candidatevotes
41440,2016,Arkansas,Chicot,Hillary Clinton,DEM,2350.0
41441,2016,Arkansas,Chicot,Donald Trump,REP,1716.0
41442,2016,Arkansas,Chicot,Other,,110.0
41443,2016,Arkansas,Clark,Hillary Clinton,DEM,3620.0
41444,2016,Arkansas,Clark,Donald Trump,REP,4404.0
41445,2016,Arkansas,Clark,Other,,502.0
41446,2016,Arkansas,Clay,Hillary Clinton,DEM,1199.0
41447,2016,Arkansas,Clay,Donald Trump,REP,3781.0
41448,2016,Arkansas,Clay,Other,,220.0
41449,2016,Arkansas,Cleburne,Hillary Clinton,DEM,2101.0
41450,2016,Arkansas,Cleburne,Donald Trump,REP,9458.0
41451,2016,Arkansas,Cleburne,Other,,526.0
41452,2016,Arkansas,Cleveland,Hillary Clinton,DEM,723.0
41453,2016,Arkansas,Cleveland,Donald Trump,REP,2462.0
41454,2016,Arkansas,Cleveland,Other,,169.0
41455,2016,Arkansas,Columbia,Hillary Clinton,DEM,3140.0
41456,2016,Arkansas,Columbia,Donald Trump,REP,5456.0
41457,2016,Arkansas,Columbia,Other,,291.0
41458,2016,Arkansas,Conway,Hillary Clinton,DEM,2656.0
41459,2016,Arkansas,Conway,Donald Trump,REP,4849.0
41460,2016,Arkansas,Conway,Other,,422.0
41461,2016,Arkansas,Craighead,Hillary Clinton,DEM,10538.0
41462,2016,Arkansas,Craighead,Donald Trump,REP,22892.0
41463,2016,Arkansas,Craighead,Other,,2143.0
41464,2016,Arkansas,Crawford,Hillary Clinton,DEM,4488.0
41465,2016,Arkansas,Crawford,Donald Trump,REP,16686.0
41466,2016,Arkansas,Crawford,Other,,1276.0
41467,2016,Arkansas,Crittenden,Hillary Clinton,DEM,8410.0
41468,2016,Arkansas,Crittenden,Donald Trump,REP,6964.0
41469,2016,Arkansas,Crittenden,Other,,578.0
41470,2016,Arkansas,Cross,Hillary Clinton,DEM,1999.0
41471,2016,Arkansas,Cross,Donald Trump,REP,4584.0
41472,2016,Arkansas,Cross,Other,,291.0
41473,2016,Arkansas,Dallas,Hillary Clinton,DEM,1165.0
41474,2016,Arkansas,Dallas,Donald Trump,REP,1509.0
41475,2016,Arkansas,Dallas,Other,,97.0
41476,2016,Arkansas,Desha,Hillary Clinton,DEM,2228.0
41477,2016,Arkansas,Desha,Donald Trump,REP,1919.0
41478,2016,Arkansas,Desha,Other,,110.0
41479,2016,Arkansas,Drew,Hillary Clinton,DEM,2365.0
41480,2016,Arkansas,Drew,Donald Trump,REP,3968.0
41481,2016,Arkansas,Drew,Other,,262.0
41482,2016,Arkansas,Faulkner,Hillary Clinton,DEM,14629.0
41483,2016,Arkansas,Faulkner,Donald Trump,REP,29346.0
41484,2016,Arkansas,Faulkner,Other,,3552.0
41485,2016,Arkansas,Franklin,Hillary Clinton,DEM,1376.0
41486,2016,Arkansas,Franklin,Donald Trump,REP,5039.0
41487,2016,Arkansas,Franklin,Other,,355.0
41488,2016,Arkansas,Fulton,Hillary Clinton,DEM,1067.0
41489,2016,Arkansas,Fulton,Donald Trump,REP,3471.0
41490,2016,Arkansas,Fulton,Other,,234.0
41491,2016,Arkansas,Garland,Hillary Clinton,DEM,12311.0
41492,2016,Arkansas,Garland,Donald Trump,REP,26087.0
41493,2016,Arkansas,Garland,Other,,2407.0
41494,2016,Arkansas,Grant,Hillary Clinton,DEM,1373.0
41495,2016,Arkansas,Grant,Donald Trump,REP,5725.0
41496,2016,Arkansas,Grant,Other,,347.0
41497,2016,Arkansas,Greene,Hillary Clinton,DEM,3071.0
41498,2016,Arkansas,Greene,Donald Trump,REP,10720.0
41499,2016,Arkansas,Greene,Other,,809.0
41500,2016,Arkansas,Hempstead,Hillary Clinton,DEM,2377.0
41501,2016,Arkansas,Hempstead,Donald Trump,REP,4401.0
41502,2016,Arkansas,Hempstead,Other,,271.0
41503,2016,Arkansas,Hot Spring,Hillary Clinton,DEM,3149.0
41504,2016,Arkansas,Hot Spring,Donald Trump,REP,8172.0
41505,2016,Arkansas,Hot Spring,Other,,623.0
41506,2016,Arkansas,Howard,Hillary Clinton,DEM,1351.0
41507,2016,Arkansas,Howard,Donald Trump,REP,3157.0
41508,2016,Arkansas,Howard,Other,,166.0
41509,2016,Arkansas,Independence,Hillary Clinton,DEM,2881.0
41510,2016,Arkansas,Independence,Donald Trump,REP,9936.0
41511,2016,Arkansas,Independence,Other,,797.0
41512,2016,Arkansas,Izard,Hillary Clinton,DEM,1113.0
41513,2016,Arkansas,Izard,Donald Trump,REP,4042.0
41514,2016,Arkansas,Izard,Other,,293.0
41515,2016,Arkansas,Jackson,Hillary Clinton,DEM,1583.0
41516,2016,Arkansas,Jackson,Donald Trump,REP,3267.0
