year,candidate_ID,candidate_votes,total_votes,county_state_ID
2016,c1,4655.0,6081,338
2016,c2,33445.0,96374,339
2016,c1,60218.0,96374,339
2016,c2,22789.0,79700,340
2016,c1,54456.0,79700,340
2016,c2,27822.0,106483,341
2016,c1,74963.0,106483,341
2016,c2,61085.0,170789,342
2016,c1,105423.0,170789,342
2016,c2,7601.0,28707,343
2016,c1,20368.0,28707,343
2016,c2,3781.0,10818,344
2016,c1,6778.0,10818,344
2016,c2,1270.0,7202,345
2016,c1,5822.0,7202,345
2016,c2,205704.0,432695,346
2016,c1,211672.0,432695,346
2016,c2,57461.0,152469,347
2016,c1,88808.0,152469,347
2016,c2,22026.0,57503,348
2016,c1,33850.0,57503,348
2016,c2,1744.0,6015,349
2016,c1,4125.0,6015,349
2016,c2,15020.0,22113,350
2016,c1,6728.0,22113,350
2016,c2,1458.0,8420,351
2016,c1,6740.0,8420,351
2016,c2,1271.0,4353,352
2016,c1,2996.0,4353,352
2016,c2,1720.0,7293,353
2016,c1,5329.0,7293,353
2016,c2,1904.0,5460,354
2016,c1,3443.0,5460,354
2016,c2,2149.0,7583,355
2016,c1,5242.0,7583,355
2016,c2,4615.0,11115,356
2016,c1,6195.0,11115,356
2016,c2,31795.0,93796,357
2016,c1,58970.0,93796,357
2016,c2,14937.0,45686,358
2016,c1,29565.0,45686,358
2016,c2,307896.0,597660,359
2016,c1,266870.0,597660,359
2016,c2,853.0,8514,360
2016,c1,7483.0,8514,360
2016,c2,29043.0,80009,361
2016,c1,48620.0,80009,361
2016,c2,6397.0,21041,362
2016,c1,14257.0,21041,362
2016,c2,3541.0,7645,363
2016,c1,3930.0,7645,363
2016,c2,518.0,3392,364
2016,c1,2809.0,3392,364
2016,c2,62838.0,170462,365
2016,c1,102188.0,170462,365
2016,c2,124908.0,326420,366
2016,c1,191551.0,326420,366
2016,c2,92068.0,152132,367
2016,c1,53821.0,152132,367
2016,c2,5101.0,19395,368
2016,c1,13775.0,19395,368
2016,c2,651.0,3296,369
2016,c1,2543.0,3296,369
2016,c2,3526.0,8505,370
2016,c1,4851.0,8505,370
2016,c2,71224.0,178958,371
2016,c1,101944.0,178958,371
2016,c2,62041.0,174700,372
2016,c1,107833.0,174700,372
2016,c2,30185.0,85792,373
2016,c1,53204.0,85792,373
2016,c2,624146.0,980204,374
2016,c1,333999.0,980204,374
2016,c2,18971.0,42478,375
2016,c1,21904.0,42478,375
2016,c2,10869.0,46607,376
2016,c1,34266.0,46607,376
2016,c2,23780.0,100855,377
2016,c1,71893.0,100855,377
2016,c2,3959.0,13653,378
2016,c1,9356.0,13653,378
2016,c2,329894.0,546275,379
2016,c1,195216.0,546275,379
2016,c2,85458.0,140206,380
2016,c1,50301.0,140206,380
2016,c2,374673.0,662332,381
2016,c1,272402.0,662332,381
2016,c2,90142.0,241139,382
2016,c1,142101.0,241139,382
2016,c2,233701.0,492403,383
2016,c1,239201.0,492403,383
2016,c2,117433.0,284314,384
2016,c1,157430.0,284314,384
2016,c2,10094.0,33117,385
2016,c1,22138.0,33117,385
2016,c2,43099.0,136514,386
2016,c1,88684.0,136514,386
2016,c2,66881.0,140847,387
2016,c1,70289.0,140847,387
2016,c2,18464.0,87745,388
2016,c1,65339.0,87745,388
2016,c2,97870.0,229063,389
2016,c1,124438.0,229063,389
2016,c2,105914.0,224896,390
2016,c1,109443.0,224896,390
2016,c2,22638.0,76665,391
2016,c1,52730.0,76665,391
2016,c2,3964.0,18694,392
2016,c1,14287.0,18694,392
2016,c2,2152.0,9290,393
2016,c1,6930.0,9290,393
2016,c2,1014.0,5694,394
2016,c1,4568.0,5694,394
2016,c2,109091.0,260869,395
2016,c1,143007.0,260869,395
2016,c2,4348.0,15351,396
2016,c1,10512.0,15351,396
2016,c2,6876.0,33637,397
2016,c1,25756.0,33637,397
2016,c2,2264.0,11156,398
2016,c1,8637.0,11156,398
2016,c2,1434.0,7012,399
2016,c1,5494.0,7012,399
2016,c2,697.0,2610,400
2016,c1,1878.0,2610,400
2016,c2,608.0,4020,401
2016,c1,3364.0,4020,401
2016,c2,650.0,1440,402
2016,c1,775.0,1440,402
2016,c2,7970.0,16116,403
2016,c1,7697.0,16116,403
2016,c2,684.0,6975,404
2016,c1,6134.0,6975,404
2016,c2,6580.0,29060,405
2016,c1,21108.0,29060,405
2016,c2,8212.0,39550,406
2016,c1,29911.0,39550,406
2016,c2,2101.0,5936,407
2016,c1,3739.0,5936,407
2016,c2,1047.0,6590,408
2016,c1,5422.0,6590,408
2016,c2,36787.0,62596,409
2016,c1,24043.0,62596,409
2016,c2,1101.0,4974,410
2016,c1,3719.0,4974,410
2016,c2,619.0,6301,411
2016,c1,5567.0,6301,411
2016,c2,2528.0,6336,412
2016,c1,3701.0,6336,412
2016,c2,4014.0,15173,413
2016,c1,10529.0,15173,413
2016,c2,9261.0,25316,414
2016,c1,15097.0,25316,414
2016,c2,4731.0,9351,415
2016,c1,4491.0,9351,415
2016,c2,2566.0,9514,416
2016,c1,6717.0,9514,416
2016,c2,1179.0,2025,417
